Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
vække,StandardOrth,wake up,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈvεgə,ordnet
drømme,StandardOrth,dream,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈdʁɶmə,ordnet
snorke,StandardOrth,snore,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈsnɒːgə,ordnet
sove,StandardOrth,sleep,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈsɒwə,ordnet
savle,StandardOrth,dribble,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈsɑwlə,ordnet
slikke,StandardOrth,lick,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈslegə,ordnet
bide,StandardOrth,bite,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈbiːðə,ordnet
spytte,StandardOrth,spit,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈsbødə,ordnet
sved,StandardOrth,perspire,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈsveðˀ,ordnet
nyse,StandardOrth,sneeze,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈnyːsə,ordnet
hoste,StandardOrth,cough,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈhoːsdə,ordnet
hik,StandardOrth,hiccough,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈheg,ordnet
gabe,StandardOrth,"yawn, gape",Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈgæːbə,ordnet
penis,StandardOrth,penis,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈpeːnis,ordnet
testikel,StandardOrth,testicle,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,tεˈsdigəl,ordnet
hofte,StandardOrth,hip,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhʌfdə,ordnet
mave,StandardOrth,stomach,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈmæːvə,ordnet
milt,StandardOrth,spleen,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈmilˀd,ordnet
nyre,StandardOrth,kidney,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈnyːʌ,ordnet
lever,StandardOrth,liver,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈlewˀʌ,ordnet
lunger,StandardOrth,lung,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈlɔŋə,ordnet
hjerte,StandardOrth,heart,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈjæɐ̯də,ordnet
navle,StandardOrth,navel,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈnɑwlə,ordnet
yver,StandardOrth,udder,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈyˀvʌ,ordnet
bryst,StandardOrth,breast (of woman),Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈbʁœsd,ordnet
fjeder,StandardOrth,feather,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈfjeðˀʌ,ordnet
fjer,StandardOrth,feather,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈfjeˀɐ̯,ordnet
vinge,StandardOrth,wing,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈveŋə,ordnet
hæl,StandardOrth,heel,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhεˀl,ordnet
ankel,StandardOrth,ankle,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈɑŋˀgəl,ordnet
fod,StandardOrth,foot,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈfoˀð,ordnet
knæ,StandardOrth,knee,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈknεˀ,ordnet
læg,StandardOrth,calf of leg,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈlεˀg,ordnet
ben,StandardOrth,leg,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈbeˀn,ordnet
klo,StandardOrth,claw,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkloˀ,ordnet
tommelfinger,StandardOrth,thumb,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈtʌməlˌfeŋˀʌ,ordnet
finger,StandardOrth,finger,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈfeŋˀʌ,ordnet
albue,StandardOrth,elbow,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈalˌbuːə,ordnet
arm,StandardOrth,arm,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈɑˀm,ordnet
skulder,StandardOrth,shoulder,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsgulʌ,ordnet
strube,StandardOrth,throat,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsdʁuːbə,ordnet
nakke,StandardOrth,nape of neck,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈnɑgə,ordnet
hals,StandardOrth,nape of neck,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhalˀs,ordnet
kindtand,StandardOrth,molartooth,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈken-,ordnet
tand,StandardOrth,tooth,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈtanˀ,ordnet
tandkød,StandardOrth,gums,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈtanˌkøð,ordnet
tunge,StandardOrth,tongue,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈtɔŋə,ordnet
læbe,StandardOrth,lip,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈlεːbə,ordnet
snabel,StandardOrth,beak,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsnæˀbəl,ordnet
mund,StandardOrth,mouth,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈmɔnˀ,ordnet
slimhinde,StandardOrth,mucus (nasal),Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsliːm-,ordnet
næsebor,StandardOrth,nostril,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,-ˌboˀɐ̯,ordnet
næse,StandardOrth,nose,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈnεːsə,ordnet
øreflip,StandardOrth,earlobe,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,-ˌfleb,ordnet
øre,StandardOrth,ear,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈøːʌ,ordnet
blinke,StandardOrth,blink,Danish,verb,Action/Process,The body,Indo-European,NA,NA,ˈbleŋgə,ordnet
øje,StandardOrth,eye,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈʌjə,ordnet
kind,StandardOrth,cheek,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈkenˀ,ordnet
kæbe,StandardOrth,jaw,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈkεːbə,ordnet
ansigt,StandardOrth,face,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈansegd,ordnet
hjerne,StandardOrth,brain,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈjæɐ̯nə,ordnet
tinding,StandardOrth,"side of head, temple",Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈteneŋ,ordnet
hoved,StandardOrth,head,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhoːəð,ordnet
rygrad,StandardOrth,spine,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,-ˌʁɑˀð,ordnet
ryg,StandardOrth,back,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈʁœg,ordnet
hale,StandardOrth,tail,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhæːlə,ordnet
svans,StandardOrth,tail,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsvanˀs,ordnet
horn,StandardOrth,horn,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhoɐ̯ˀn,ordnet
ribben,StandardOrth,rib,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈʁiˌbeˀn,ordnet
knogle,StandardOrth,bone,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈknɒwlə,ordnet
blod,StandardOrth,blood,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈbloˀð,ordnet
skæl,StandardOrth,dandruff,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsgεlˀ,ordnet
skæg,StandardOrth,beard,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsgεˀg,ordnet
hud,StandardOrth,"skin, hide",Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈhuðˀ,ordnet
skind,StandardOrth,"skin, hide",Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈsgenˀ,ordnet
legeme,StandardOrth,body,Danish,noun,Person/Thing,The body,Indo-European,NA,NA,ˈlεjəmə,ordnet
skildpadde,StandardOrth,turtle,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsgelˌpaðə,ordnet
krokodille,StandardOrth,"crocodile, alligator",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,kʁogəˈdilə,ordnet
firben,StandardOrth,lizard,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfiɐ̯-,ordnet
snegl,StandardOrth,snail,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsnɑjˀl,ordnet
græshoppe,StandardOrth,grasshopper,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgʁasˌhʌbə,ordnet
sommerfugl,StandardOrth,butterfly,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsʌmʌˌfuˀl,ordnet
slange,StandardOrth,snake,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈslɑŋə,ordnet
snog,StandardOrth,snake,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsnoˀ,ordnet
orm,StandardOrth,worm,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈoɐ̯ˀm,ordnet
moskito,StandardOrth,mosquito,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,moˈsgito,ordnet
myg,StandardOrth,"sandfly (midge), gnat",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmyg,ordnet
flue,StandardOrth,fly,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfluːə,ordnet
hveps,StandardOrth,wasp,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈvεbs,ordnet
bivoks,StandardOrth,beeswax,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈbi-,ordnet
spindelvæv,StandardOrth,spider web,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsbenˀəlˌvεˀw,ordnet
edderkop,StandardOrth,spider,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈεðˀʌˌkʌb,ordnet
myre,StandardOrth,ant,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmyːʌ,ordnet
kakerlak,StandardOrth,cockroach,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,kɑgʌˈlɑg,ordnet
skorpion,StandardOrth,scorpion,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,sgɒbiˈoˀn,ordnet
loppe,StandardOrth,flea,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈlʌbə,ordnet
luseæg,StandardOrth,nit (louse egg),Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈlusə-,ordnet
lus,StandardOrth,louse,Danish,NA,Person/Thing,Animals,Indo-European,NA,NA,ˈluˀs,ordnet
insekt,StandardOrth,insect,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,enˈsεgd,ordnet
kamel,StandardOrth,camel,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,kaˈmeˀl,ordnet
elefant,StandardOrth,elephant,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,eləˈfanˀd,ordnet
abe,StandardOrth,monkey,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈæːbə,ordnet
hjort,StandardOrth,deer,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈjɒːd,ordnet
ræv,StandardOrth,fox,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈʁεˀw,ordnet
bjørn,StandardOrth,bear,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈbjɶɐ̯ˀn,ordnet
løve,StandardOrth,lion,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈløːvə,ordnet
ulv,StandardOrth,wolf,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈulˀv,ordnet
rokke,StandardOrth,stingray,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈʁʌgə,ordnet
hval,StandardOrth,whale,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈvæˀl,ordnet
marsvin,StandardOrth,"porpoise, dolphin",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmɑːˌsviˀn,ordnet
delfin,StandardOrth,"porpoise, dolphin",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,dεlˈfiˀn,ordnet
haj,StandardOrth,shark,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhɑjˀ,ordnet
musling,StandardOrth,shell,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmusleŋ,ordnet
gælle,StandardOrth,gill,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgεlə,ordnet
finne,StandardOrth,fin (dorsal),Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfenə,ordnet
fisk,StandardOrth,fish,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfesg,ordnet
mus,StandardOrth,"mouse, rat",Danish,noun,NA,NA,Indo-European,NA,NA,ˈmuˀs,ordnet
rotte,StandardOrth,"mouse, rat",Danish,noun,NA,NA,Indo-European,NA,NA,ˈʁʌdə,ordnet
opossum,StandardOrth,opossum,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,oˈpʌsɔm,ordnet
kat,StandardOrth,cat,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkad,ordnet
hare,StandardOrth,rabbit,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhɑːɑ,ordnet
hund,StandardOrth,dog,Danish,noun,NA,NA,Indo-European,NA,NA,ˈhunˀ,ordnet
due,StandardOrth,dove,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈduːə,ordnet
ugle,StandardOrth,owl,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈuːlə,ordnet
krage,StandardOrth,crow,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkʁɑːwə,ordnet
flagermus,StandardOrth,bat,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈflɑwʌˌmuˀs,ordnet
grib,StandardOrth,vulture,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgʁib,ordnet
høg,StandardOrth,hawk,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhøˀj,ordnet
ørn,StandardOrth,eagle,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈɶɐ̯ˀn,ordnet
hejre,StandardOrth,heron,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhɑjʁʌ,ordnet
fugl,StandardOrth,bird,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfuˀl,ordnet
rede,StandardOrth,nest,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈʁεːðə,ordnet
and,StandardOrth,duck,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈanˀ,ordnet
kylling,StandardOrth,chicken,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkyleŋ,ordnet
høne,StandardOrth,hen,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhœːnə,ordnet
hane,StandardOrth,"cock, rooster",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhæːnə,ordnet
muldyr,StandardOrth,mule,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmul-,ordnet
mulæsel,StandardOrth,mule,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈmul-,ordnet
fjerkræ,StandardOrth,fowl,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈfjeɐ̯ˌkʁεˀ,ordnet
æsel,StandardOrth,"ass, donkey",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈεˀsəl,ordnet
føl,StandardOrth,"foal, colt",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈføl,ordnet
hingst,StandardOrth,stallion,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈheŋˀsd,ordnet
hest,StandardOrth,horse (equine),Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhεsd,ordnet
kid,StandardOrth,kid,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkið,ordnet
buk,StandardOrth,he-goat,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈbɔg,ordnet
ged,StandardOrth,goat,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgeðˀ,ordnet
gris,StandardOrth,pig,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgʁiˀs,ordnet
so,StandardOrth,sow (2),Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsoˀ,ordnet
orne,StandardOrth,boar,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈɒːnə,ordnet
vædder,StandardOrth,ram,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈvεðˀʌ,ordnet
kalv,StandardOrth,calf,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkalˀv,ordnet
ko,StandardOrth,cow,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkoˀ,ordnet
okse,StandardOrth,ox,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈʌgsə,ordnet
tyr,StandardOrth,bull,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈtyɐ̯ˀ,ordnet
kvæg,StandardOrth,cattle (bovine),Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈkvεˀj,ordnet
stald,StandardOrth,"stable, stall",Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈsdalˀ,ordnet
hyrde,StandardOrth,herdsman,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈhyɐ̯də,ordnet
græsse,StandardOrth,pasture,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,ˈgʁasə,ordnet
kreaturer,StandardOrth,livestock,Danish,noun,Person/Thing,Animals,Indo-European,NA,NA,kʁεaˈtuɐ̯ˀ,ordnet
de,StandardOrth,they,Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈdi,ordnet
I,StandardOrth,you (plural),Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈiˀ,ordnet
vi,StandardOrth,we (exclusive),Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈviˀ,ordnet
han,StandardOrth,he/she/it,Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈhan,ordnet
du,StandardOrth,you (singular),Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈduˀ,ordnet
jeg,StandardOrth,I,Danish,NA,Other,Kinship,Indo-European,NA,NA,ˈjɑj,ordnet
familie,StandardOrth,family,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,faˈmilˀjə,ordnet
slægtninge,StandardOrth,"relatives, kinsmen",Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈslεgdneŋ,ordnet
enke,StandardOrth,widow,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈεŋgə,ordnet
steddatter,StandardOrth,stepdaughter,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεð-,ordnet
stedsøn,StandardOrth,stepson,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεð-,ordnet
stedmoder,StandardOrth,stepmother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεðˌmoɐ̯,ordnet
stedmor,StandardOrth,stepmother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεðˌmoɐ̯,ordnet
stedfader,StandardOrth,stepfather,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεðˌfɑː,ordnet
stedfar,StandardOrth,stepfather,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdεðˌfɑː,ordnet
svigerdatter,StandardOrth,daughter-in-law (of a woman),Danish,NA,NA,NA,Indo-European,NA,NA,ˈsviˀʌ-,ordnet
svigersøn,StandardOrth,son-in-law (of a woman),Danish,NA,NA,NA,Indo-European,NA,NA,ˈsviˀʌ-,ordnet
svigermor,StandardOrth,mother-in-law (of a woman),Danish,NA,NA,NA,Indo-European,NA,NA,ˈsviˀʌˌmoɐ̯,ordnet
svigerfar,StandardOrth,father-in-law (of a woman),Danish,NA,NA,NA,Indo-European,NA,NA,ˈsviˀʌˌfɑː,ordnet
efterkommere,StandardOrth,descendants,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,-ˌkʌmˀʌ,ordnet
forfædre,StandardOrth,ancestors,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈfɒːˌfæːðʌ,ordnet
niece,StandardOrth,niece,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,niˈεːsə,ordnet
nevø,StandardOrth,nephew,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,neˈvø,ordnet
faster,StandardOrth,father's sister,Danish,NA,Person/Thing,Kinship,Indo-European,NA,NA,ˈfasdʌ,ordnet
tante,StandardOrth,aunt,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈtandə,ordnet
moster,StandardOrth,mother's sister,Danish,NA,Person/Thing,Kinship,Indo-European,NA,NA,ˈmʌsdʌ,ordnet
farbror,StandardOrth,father's brother,Danish,NA,Person/Thing,Kinship,Indo-European,NA,NA,ˈfɑˀˌbʁoɐ̯,ordnet
morbror,StandardOrth,mother's brother,Danish,NA,Person/Thing,Kinship,Indo-European,NA,NA,ˈmɒˀˌbʁoɐ̯,ordnet
onkel,StandardOrth,uncle,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈɔŋˀgəl,ordnet
bedstemor,StandardOrth,grandmother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,-ˌmoɐ̯,ordnet
bedstefar,StandardOrth,grandfather,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,-ˌfɑː,ordnet
søskende,StandardOrth,sibling,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsøsgənə,ordnet
storesøster,StandardOrth,older sister,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdoːʌ-,ordnet
søster,StandardOrth,sister,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsøsdʌ,ordnet
lillebror,StandardOrth,younger brother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,-ˌbʁoɐ̯,ordnet
storebror,StandardOrth,older brother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsdoːʌˌbʁoɐ̯,ordnet
broder,StandardOrth,brother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈbʁoɐ̯,ordnet
bror,StandardOrth,brother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈbʁoɐ̯,ordnet
afkom,StandardOrth,offspring (son or daughter),Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,-ˌkʌmˀ,ordnet
datter,StandardOrth,daughter,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈdadʌ,ordnet
søn,StandardOrth,son,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsœn,ordnet
forældre,StandardOrth,parents,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,fʌˈεlˀdʁʌ,ordnet
moder,StandardOrth,mother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈmoɐ̯,ordnet
mor,StandardOrth,mother,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈmoɐ̯,ordnet
fader,StandardOrth,father,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈfɑː,ordnet
far,StandardOrth,father,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈfɑː,ordnet
skilsmisse,StandardOrth,divorce,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsgelˀsˌmisə,ordnet
bryllup,StandardOrth,"marriage, wedding",Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈbʁœlʌb,ordnet
kone,StandardOrth,wife,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈkoːnə,ordnet
hustru,StandardOrth,wife,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈhusdʁu,ordnet
mand,StandardOrth,husband,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈmanˀ,ordnet
spædbarn,StandardOrth,"infant, baby",Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈsbεðˌbɑˀn,ordnet
barn,StandardOrth,child,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈbɑˀn,ordnet
pige,StandardOrth,girl,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈpiːə,ordnet
dreng,StandardOrth,boy,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈdʁaŋˀ,ordnet
kvindelig,StandardOrth,female,Danish,NA,Property,Animals,Indo-European,NA,NA,ˈkvenəli,ordnet
mandlig,StandardOrth,male,Danish,NA,Property,Kinship,Indo-European,NA,NA,ˈmanli,ordnet
kvinde,StandardOrth,woman,Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈkvenə,ordnet
menneske,StandardOrth,"person, human being",Danish,noun,Person/Thing,Kinship,Indo-European,NA,NA,ˈmεnəsgə,ordnet
brænde,StandardOrth,firewood,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈbʁanə,ordnet
tændstik,StandardOrth,match (noun),Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈtεnˌsdeg,ordnet
antænde,StandardOrth,"light, kindle, ignite",Danish,verb,Action/Process,The physical world,Indo-European,NA,NA,ˈanˌtεnˀə,ordnet
glød,StandardOrth,embers,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈgløˀð,ordnet
aske,StandardOrth,ashes,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈasgə,ordnet
røg,StandardOrth,smoke (noun),Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈʁʌjˀ,ordnet
flamme,StandardOrth,flame (noun),Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈflɑmə,ordnet
ild,StandardOrth,fire,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈilˀ,ordnet
vejr,StandardOrth,weather,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈvεˀɐ̯,ordnet
is,StandardOrth,ice,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈiˀs,ordnet
sne,StandardOrth,snow (noun),Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈsneˀ,ordnet
regn,StandardOrth,rain (noun),Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈʁɑjˀn,ordnet
vind,StandardOrth,wind,Danish,noun,Person/Thing,The physical world,Indo-European,NA,NA,ˈvenˀ,ordnet
