Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
banyar-se,StandardOrth,bathe,Catalan,verb,Indo-European,NA,NA,NA,baɲaɾsɛ,NA,Action,FALSE
tremolar,StandardOrth,shiver,Catalan,verb,Indo-European,NA,NA,NA,tɾɛmɔlaɾ,NA,Action,FALSE
defecar,StandardOrth,defecate,Catalan,verb,Indo-European,NA,NA,NA,dɛfɛkaɾ,NA,Action,FALSE
orinar,StandardOrth,urinate,Catalan,verb,Indo-European,NA,NA,NA,ɔɾinaɾ,NA,Action,FALSE
flato,StandardOrth,break wind,Catalan,verb,Indo-European,NA,NA,NA,flatɔ,NA,Action,FALSE
despertar-se,StandardOrth,wake up,Catalan,verb,Indo-European,NA,NA,NA,dɛspɛɾtaɾsɛ,NA,Action,TRUE
somiar,StandardOrth,dream,Catalan,verb,Indo-European,NA,NA,NA,sɔmiaɾ,NA,Action,FALSE
roncar,StandardOrth,snore,Catalan,verb,Indo-European,NA,NA,NA,ɾɔŋkaɾ,NA,Action,FALSE
dormir,StandardOrth,sleep,Catalan,verb,Indo-European,NA,NA,NA,dɔɾmiɾ,NA,Action,FALSE
gotejar,StandardOrth,dribble,Catalan,verb,Indo-European,NA,NA,NA,ɡɔtɛʒaɾ,NA,Action,FALSE
llepar,StandardOrth,lick,Catalan,verb,Indo-European,NA,NA,NA,ʎɛpaɾ,NA,Action,TRUE
mossegar,StandardOrth,bite,Catalan,verb,Indo-European,NA,NA,NA,mɔsɛɡaɾ,NA,Action,TRUE
vomitar,StandardOrth,vomit,Catalan,verb,Indo-European,NA,NA,NA,bɔmitaɾ,NA,Action,FALSE
escopir,StandardOrth,spit,Catalan,verb,Indo-European,NA,NA,NA,ɛskɔpiɾ,NA,Action,FALSE
suar,StandardOrth,perspire,Catalan,verb,Indo-European,NA,NA,NA,suaɾ,NA,Action,FALSE
esternudar,StandardOrth,sneeze,Catalan,verb,Indo-European,NA,NA,NA,ɛstɛɾnudaɾ,NA,Action,FALSE
tossir,StandardOrth,cough,Catalan,verb,Indo-European,NA,NA,NA,tɔsiɾ,NA,Action,FALSE
singlot,StandardOrth,hiccough,Catalan,verb,Indo-European,NA,NA,NA,siŋɡlɔt,NA,Action,FALSE
badallar,StandardOrth,"yawn, gape",Catalan,verb,Indo-European,NA,NA,NA,badaʎaɾ,NA,Action,FALSE
respirar,StandardOrth,"breathe, breath",Catalan,verb,Indo-European,NA,NA,NA,ɾɛspiɾaɾ,NA,Action,FALSE
alè,StandardOrth,"breathe, breath",Catalan,verb,Indo-European,NA,NA,NA,alɛ,NA,Action,FALSE
parpellejar,StandardOrth,blink,Catalan,verb,Indo-European,NA,NA,NA,paɾpɛʎɛʒaɾ,NA,Action,FALSE
casar-se,StandardOrth,marry,Catalan,verb,Indo-European,NA,NA,NA,kasaɾsɛ,NA,Action,FALSE
apagar,StandardOrth,extinguish,Catalan,verb,Indo-European,NA,NA,NA,apaɡaɾ,NA,Action,FALSE
encendre,StandardOrth,"light, kindle, ignite",Catalan,verb,Indo-European,NA,NA,NA,ɛnsɛndɾɛ,NA,Action,FALSE
cremar-se,StandardOrth,burn (vb intrans),Catalan,verb,Indo-European,NA,NA,NA,kɾɛmaɾsɛ,NA,Action,FALSE
cremar,StandardOrth,burn (vb trans),Catalan,verb,Indo-European,NA,NA,NA,kɾɛmaɾ,NA,Action,FALSE
olorar,StandardOrth,sniff,Catalan,verb,Indo-European,NA,NA,NA,ɔlɔɾaɾ,NA,Action,FALSE
tastar,StandardOrth,taste,Catalan,verb,Indo-European,NA,NA,NA,tastaɾ,NA,Action,FALSE
sentir,StandardOrth,hear,Catalan,verb,Indo-European,NA,NA,NA,sɛntiɾ,NA,Action,FALSE
escoltar,StandardOrth,listen,Catalan,verb,Indo-European,NA,NA,NA,ɛskɔltaɾ,NA,Action,TRUE
mirar,StandardOrth,"look, look at",Catalan,verb,Indo-European,NA,NA,NA,miɾaɾ,NA,Action,FALSE
ensenyar,StandardOrth,show,Catalan,verb,Indo-European,NA,NA,NA,ɛnsɛɲaɾ,NA,Action,FALSE
brillar,StandardOrth,shine,Catalan,verb,Indo-European,NA,NA,NA,bɾiʎaɾ,NA,Action,FALSE
tocar,StandardOrth,touch,Catalan,verb,Indo-European,NA,NA,NA,tɔkaɾ,NA,Action,FALSE
pessigar,StandardOrth,pinch,Catalan,verb,Indo-European,NA,NA,NA,pɛstʃaɾ,NA,Action,FALSE
riure,StandardOrth,laugh,Catalan,verb,Indo-European,NA,NA,NA,ɾibɾɛ,NA,Action,TRUE
somriure,StandardOrth,smile,Catalan,verb,Indo-European,NA,NA,NA,sɔmɾibɾɛ,NA,Action,FALSE
jugar,StandardOrth,play,Catalan,verb,Indo-European,NA,NA,NA,ʒuɡaɾ,NA,Action,FALSE
estimar,StandardOrth,love,Catalan,verb,Indo-European,NA,NA,NA,ɛstimaɾ,NA,Action,FALSE
